year,rank,nation,gold,silver,bronze,total,all_total,all_gold,all_silver,all_bronze,prop_total,prop_gold,prop_silver,prop_bronze
1951,1,Japan,24,21,15,60,169,57,57,55,0.35502958579881655,0.42105263157894735,0.3684210526315789,0.2727272727272727
1951,2,India,15,16,20,51,169,57,57,55,0.30177514792899407,0.2631578947368421,0.2807017543859649,0.36363636363636365
1951,3,Iran,8,6,2,16,169,57,57,55,0.09467455621301775,0.14035087719298245,0.10526315789473684,0.03636363636363636
1951,4,Singapore,5,7,2,14,169,57,57,55,0.08284023668639054,0.08771929824561403,0.12280701754385964,0.03636363636363636
1951,5,Philippines,5,6,8,19,169,57,57,55,0.11242603550295859,0.08771929824561403,0.10526315789473684,0.14545454545454545
1951,6,Sri Lanka,0,1,0,1,169,57,57,55,0.005917159763313609,0,0.017543859649122806,0
1951,7,Indonesia,0,0,5,5,169,57,57,55,0.029585798816568046,0,0,0.09090909090909091
1951,8,Myanmar,0,0,3,3,169,57,57,55,0.01775147928994083,0,0,0.05454545454545454
1954,1,Japan,38,36,24,98,229,77,77,75,0.4279475982532751,0.4935064935064935,0.4675324675324675,0.32
1954,2,Philippines,14,14,17,45,229,77,77,75,0.1965065502183406,0.18181818181818182,0.18181818181818182,0.22666666666666666
1954,3,South Korea,8,6,5,19,229,77,77,75,0.08296943231441048,0.1038961038961039,0.07792207792207792,0.06666666666666667
1954,4,Pakistan,5,6,2,13,229,77,77,75,0.056768558951965066,0.06493506493506493,0.07792207792207792,0.02666666666666667
1954,5,India,5,4,8,17,229,77,77,75,0.07423580786026202,0.06493506493506493,0.05194805194805195,0.10666666666666667
1954,6,Chinese Taipei,2,4,7,13,229,77,77,75,0.056768558951965066,0.025974025974025976,0.05194805194805195,0.09333333333333334
1954,7,Israel,2,1,1,4,229,77,77,75,0.017467248908296942,0.025974025974025976,0.012987012987012988,0.013333333333333334
1954,8,Myanmar,2,0,2,4,229,77,77,75,0.017467248908296942,0.025974025974025976,0,0.02666666666666667
1954,9,Singapore,1,4,4,9,229,77,77,75,0.039301310043668124,0.012987012987012988,0.05194805194805195,0.05333333333333334
1954,10,Sri Lanka,0,1,1,2,229,77,77,75,0.008733624454148471,0,0.012987012987012988,0.013333333333333334
1954,11,Afghanistan,0,1,0,1,229,77,77,75,0.004366812227074236,0,0.012987012987012988,0
1954,12,Indonesia,0,0,3,3,229,77,77,75,0.013100436681222707,0,0,0.04
1954,13,Hong Kong,0,0,1,1,229,77,77,75,0.004366812227074236,0,0,0.013333333333333334
1958,1,Japan,67,41,30,138,350,112,112,126,0.3942857142857143,0.5982142857142857,0.36607142857142855,0.23809523809523808
1958,2,Philippines,8,19,21,48,350,112,112,126,0.13714285714285715,0.07142857142857142,0.16964285714285715,0.16666666666666666
1958,3,South Korea,8,7,12,27,350,112,112,126,0.07714285714285714,0.07142857142857142,0.0625,0.09523809523809523
1958,4,Iran,7,14,11,32,350,112,112,126,0.09142857142857143,0.0625,0.125,0.0873015873015873
1958,5,Chinese Taipei,6,11,17,34,350,112,112,126,0.09714285714285714,0.05357142857142857,0.09821428571428571,0.1349206349206349
1958,6,Pakistan,6,11,9,26,350,112,112,126,0.07428571428571429,0.05357142857142857,0.09821428571428571,0.07142857142857142
1958,7,India,5,4,4,13,350,112,112,126,0.037142857142857144,0.044642857142857144,0.03571428571428571,0.031746031746031744
1958,8,South Vietnam,2,0,4,6,350,112,112,126,0.017142857142857144,0.017857142857142856,0,0.031746031746031744
1958,9,Myanmar,1,2,1,4,350,112,112,126,0.011428571428571429,0.008928571428571428,0.017857142857142856,0.007936507936507936
1958,10,Singapore,1,1,1,3,350,112,112,126,0.008571428571428572,0.008928571428571428,0.008928571428571428,0.007936507936507936
1958,11,Sri Lanka,1,0,1,2,350,112,112,126,0.005714285714285714,0.008928571428571428,0,0.007936507936507936
1958,12,Thailand,0,1,3,4,350,112,112,126,0.011428571428571429,0,0.008928571428571428,0.023809523809523808
1958,13,Hong Kong,0,1,1,2,350,112,112,126,0.005714285714285714,0,0.008928571428571428,0.007936507936507936
1958,14,Indonesia,0,0,6,6,350,112,112,126,0.017142857142857144,0,0,0.047619047619047616
1958,15,Malaysia,0,0,3,3,350,112,112,126,0.008571428571428572,0,0,0.023809523809523808
1958,16,Israel,0,0,2,2,350,112,112,126,0.005714285714285714,0,0,0.015873015873015872
1962,1,Japan,73,56,23,152,372,120,122,130,0.40860215053763443,0.6083333333333333,0.45901639344262296,0.17692307692307693
1962,2,Indonesia,11,12,28,51,372,120,122,130,0.13709677419354838,0.09166666666666666,0.09836065573770492,0.2153846153846154
1962,3,India,10,13,10,33,372,120,122,130,0.08870967741935484,0.08333333333333333,0.10655737704918032,0.07692307692307693
1962,4,Pakistan,8,11,9,28,372,120,122,130,0.07526881720430108,0.06666666666666667,0.09016393442622951,0.06923076923076923
1962,5,Philippines,7,6,24,37,372,120,122,130,0.09946236559139784,0.058333333333333334,0.04918032786885246,0.18461538461538463
1962,6,South Korea,4,9,10,23,372,120,122,130,0.06182795698924731,0.03333333333333333,0.07377049180327869,0.07692307692307693
1962,7,Thailand,2,6,4,12,372,120,122,130,0.03225806451612903,0.016666666666666666,0.04918032786885246,0.03076923076923077
1962,8,Malaysia,2,4,9,15,372,120,122,130,0.04032258064516129,0.016666666666666666,0.03278688524590164,0.06923076923076923
1962,9,Myanmar,2,1,5,8,372,120,122,130,0.021505376344086023,0.016666666666666666,0.00819672131147541,0.038461538461538464
